R1,R2,R3,Rmax1,Rmax2,Rmax3,Rmax1-R1,Rmax2-R2,Rmax3-R3,(Rmax1-R1)/Rmax1,(Rmax2-R2)/Rmax2,(Rmax3-R3)/Rmax3,(Rmax1-R1)/Rmax1*100,(Rmax2-R2)/Rmax2*100,(Rmax3-R3)/Rmax3*100
230245.703,296461.687,282517.844,439861.43799999997,546426.687,511025.469,209615.73499999996,249965.00000000006,228507.625,0.47654946965366846,0.4574538651696564,0.4471550614632869,47.65494696536685,45.74538651696564,44.715506146328686
228017.937,264359.719,275972.938,439861.43799999997,546426.687,511025.469,211843.50099999996,282066.96800000005,235052.53099999996,0.481614169142056,0.5162027673805764,0.45996245834862676,48.1614169142056,51.62027673805763,45.99624583486268
228152.359,291915.875,285475.094,439861.43799999997,546426.687,511025.469,211709.07899999997,254510.81200000003,225550.375,0.4813085683587475,0.4657730269312414,0.441368167894583,48.13085683587475,46.57730269312414,44.1368167894583
220223.016,293291.656,278228.187,439861.43799999997,546426.687,511025.469,219638.42199999996,253135.03100000002,232797.282,0.4993354793697555,0.46325524909803684,0.45554927517712435,49.93354793697555,46.32552490980368,45.554927517712436
220511.984,293115.406,284231.156,439861.43799999997,546426.687,511025.469,219349.45399999997,253311.28100000002,226794.31299999997,0.4986785270319604,0.4635777992299999,0.4438023675097884,49.86785270319604,46.357779922999995,44.38023675097884
223237.859,290627.844,276239.219,439861.43799999997,546426.687,511025.469,216623.57899999997,255798.84300000005,234786.25,0.49248140501918697,0.46813021597534094,0.459441386472266,49.2481405019187,46.813021597534096,45.9441386472266
216091.063,298634.031,281058.844,439861.43799999997,546426.687,511025.469,223770.37499999997,247792.65600000002,229966.625,0.5087292398657597,0.453478319956214,0.4500101050736475,50.87292398657597,45.347831995621405,45.001010507364754
214097.09399999998,300172.094,272671.312,439861.43799999997,546426.687,511025.469,225764.34399999998,246254.59300000005,238354.157,0.5132624151517461,0.45066355443214295,0.4664232439655567,51.32624151517461,45.0663554432143,46.642324396555665
218973.40600000002,268462.469,271587.125,439861.43799999997,546426.687,511025.469,220888.03199999995,277964.21800000005,239438.34399999998,0.5021763967406481,0.5086944408335606,0.4685448348954991,50.217639674064806,50.869444083356065,46.85448348954991
218770.0,296594.656,278674.0,439861.43799999997,546426.687,511025.469,221091.43799999997,249832.03100000002,232351.46899999998,0.502638828730424,0.45721052236967336,0.4546768861729668,50.2638828730424,45.72105223696734,45.46768861729668
216808.25,295953.875,276824.531,439861.43799999997,546426.687,511025.469,223053.18799999997,250472.81200000003,234200.93799999997,0.5070987559495952,0.45838319752490425,0.4582960189015549,50.70987559495952,45.83831975249043,45.829601890155494
216893.09399999998,304602.281,281921.563,439861.43799999997,546426.687,511025.469,222968.34399999998,241824.40600000002,229103.90599999996,0.5069058679338014,0.44255599470748397,0.44832189371759074,50.69058679338014,44.25559947074839,44.83218937175907
217936.937,305095.437,280561.0,439861.43799999997,546426.687,511025.469,221924.50099999996,241331.25000000006,230464.46899999998,0.5045327501521059,0.44165348388264214,0.4509843109209103,50.453275015210586,44.16534838826421,45.098431092091026
218227.125,304324.906,281058.844,439861.43799999997,546426.687,511025.469,221634.31299999997,242101.78100000002,229966.625,0.5038730242135934,0.44306361083714785,0.4500101050736475,50.38730242135934,44.30636108371478,45.001010507364754
215228.141,299583.219,284256.063,439861.43799999997,546426.687,511025.469,224633.29699999996,246843.46800000005,226769.40599999996,0.5106910440282787,0.4517412378872338,0.4437536282560507,51.06910440282787,45.17412378872338,44.375362825605066
214126.25,299514.219,279123.187,439861.43799999997,546426.687,511025.469,225735.18799999997,246912.46800000005,231902.282,0.5131961306414862,0.451867512832513,0.45379789475815735,51.31961306414862,45.1867512832513,45.379789475815734
213012.703,293845.531,273488.219,439861.43799999997,546426.687,511025.469,226848.73499999996,252581.15600000002,237537.25,0.515727716508761,0.46224161815142095,0.4648246798047555,51.572771650876106,46.2241618151421,46.48246798047555
219407.25,305038.656,284340.406,439861.43799999997,546426.687,511025.469,220454.18799999997,241388.03100000002,226685.06299999997,0.5011900770442168,0.44175739718217677,0.4435885816876966,50.11900770442168,44.17573971821768,44.35885816876966
216663.375,483925.93799999997,284064.031,439861.43799999997,546426.687,511025.469,223198.06299999997,62500.74900000007,226961.43799999997,0.5074281210347882,0.1143808501432143,0.44412940600422396,50.74281210347882,11.438085014321429,44.412940600422395
219567.766,484028.844,275631.125,439861.43799999997,546426.687,511025.469,220293.67199999996,62397.84300000005,235394.34399999998,0.5008251530337605,0.11419252478786793,0.4606313349912507,50.08251530337605,11.419252478786794,46.06313349912507
216131.172,466133.68700000003,281991.25,439861.43799999997,546426.687,511025.469,223730.26599999997,80293.0,229034.21899999998,0.5086380543320099,0.14694194465652077,0.4481855267374159,50.863805433200994,14.694194465652078,44.81855267374159
209713.172,461698.281,285700.656,439861.43799999997,546426.687,511025.469,230148.26599999997,84728.40600000002,225324.81299999997,0.5232290128601816,0.15505905552522917,0.4409267769783114,52.322901286018165,15.505905552522917,44.09267769783114
219642.172,463524.0,285015.344,439861.43799999997,546426.687,511025.469,220219.26599999997,82902.68700000003,226010.125,0.5006559952182033,0.1517178589046476,0.4422678295120355,50.065599521820324,15.17178589046476,44.22678295120355
210264.78100000002,460827.75,276359.562,439861.43799999997,546426.687,511025.469,229596.65699999995,85598.93700000003,234665.907,0.5219749611240073,0.15665218964680624,0.4592058933172272,52.197496112400735,15.665218964680625,45.920589331722724
217808.65600000002,480300.43700000003,287868.75,439861.43799999997,546426.687,511025.469,222052.78199999995,66126.25,223156.71899999998,0.5048243897206556,0.1210157768154541,0.4366841430363229,50.48243897206556,12.10157768154541,43.66841430363229
218388.078,455784.5,284127.75,439861.43799999997,546426.687,511025.469,221473.35999999996,90642.18700000003,226897.71899999998,0.5035071067084539,0.16588169860012716,0.4440047175026417,50.35071067084539,16.588169860012716,44.40047175026417
