resistance_ch1,time_ch1,conc,resistance_ch2,time_ch2,resistance_ch3,time_ch3,Label
85053.3203,238.546,4,45507.1523,238.848,271349.406,239.565,No3_4
82987.8203,239.89,4,45695.4844,240.187,266168.688,240.969,No3_4
84053.9063,241.295,4,44670.7734,241.591,269413.375,242.296,No3_4
84497.0391,242.635,4,45816.1875,242.965,264234.375,243.71,No3_4
84713.2031,244.035,4,44695.1133,244.331,267277.5,245.046,No3_4
83351.3281,245.372,4,45737.6641,245.674,272256.5,246.456,No3_4
86154.2031,246.781,4,46779.3359,247.077,269810.531,247.782,No3_4
85695.6875,248.121,4,45333.5859,248.451,269904.844,249.181,No3_4
82762.5703,249.507,4,45083.3828,249.804,272057.781,250.519,No3_4
83950.0234,250.843,4,46081.5977,251.14,271708.125,251.919,No3_4
83105.9531,252.245,4,45359.0508,252.542,265737.656,253.248,No3_4
82946.3047,253.586,4,46728.5156,253.916,271352.25,254.657,No3_4
83042.4922,254.983,4,45810.6094,255.279,272595.5,255.993,No3_4
84822.7031,256.318,4,46746.6953,256.614,271437.875,257.39,No3_4
85451.3828,257.716,4,46828.0898,258.013,263413.313,258.72,No3_4
83610.4453,259.059,4,46651.2734,259.389,270020.781,260.134,No3_4
82937.625,260.46,4,44789.082,260.762,265895.281,261.504,No3_4
86712.9531,261.83,4,46707.6836,262.131,267736,262.955,No3_4
82877.6484,263.279,4,45164.1016,263.576,270885.656,264.291,No3_4
83231.8125,264.616,4,45995.5391,264.912,272895.625,265.687,No3_4
85232.8828,266.011,4,46043.4922,266.311,264419.031,267.02,No3_4
86398.9609,267.347,4,44811.582,267.675,270395.625,268.404,No3_4
86025.1484,268.728,4,46743.7578,269.027,269643.562,269.742,No3_4
85973.9219,270.066,4,46895.9258,270.423,270436.875,271.142,No3_4
85915.8281,271.466,4,46136.8906,271.767,263721.031,272.555,No3_4
85428.5078,272.879,4,46474.8711,273.179,262899.531,273.889,No3_4
86616.125,274.221,4,45062.7031,274.588,267802.844,275.297,No3_4
84665.8438,275.645,4,45640.8594,275.974,263651.313,276.713,No3_4
86217.0391,277.038,4,46997.7539,277.339,261356.125,278.05,No3_4
84886.0469,278.374,4,46843.4453,278.737,270178.406,279.457,No3_4
84987.6641,279.781,4,45810.9219,280.082,266710.656,280.872,No3_4
86523.6016,281.196,4,47022.457,281.496,261144.438,282.204,No3_4
85151.6719,282.531,4,45734.1836,282.86,263172.469,283.588,No3_4
86183.5938,283.912,4,46767.8164,284.212,265351.719,284.938,No3_4
82794.6484,285.263,4,44999.9141,285.62,268708.531,286.333,No3_4
84875.8828,286.657,4,45685.2266,286.957,261592.531,287.74,No3_4
84461.5547,288.065,4,46024.5977,288.366,261790.969,289.077,No3_4
85177.0156,289.405,4,45806.4375,289.734,265967.406,290.465,No3_4
86323.8047,290.789,4,46904.5547,291.089,266085.469,291.811,No3_4
83143.5938,292.136,4,45143.8398,292.494,267951.781,293.207,No3_4
84680.0234,293.531,4,45825.5742,293.831,265823,294.621,No3_4
86685.8203,294.945,4,47009.7031,295.245,259506.437,295.954,No3_4
84981.9453,296.279,4,46453.5508,296.58,267176.5,297.346,No3_4
84457.0781,297.708,4,45902.7539,298.037,263247.594,298.776,No3_4
86842.4766,299.101,4,46586.9531,299.398,268532.844,300.119,No3_4
84813.125,300.445,4,46518.4453,300.743,269601.875,301.52,No3_4
83617.0156,301.846,4,45958.3086,302.143,259776,302.849,No3_4
83280.0234,303.187,4,46977.2461,303.517,264354.281,304.262,No3_4
83377.0859,304.588,4,44881.5547,304.885,260331.484,305.627,No3_4
85959.5938,305.953,4,45766.2656,306.25,264473.063,306.96,No3_4
86692.4219,307.353,4,45819.75,307.649,264637.813,308.37,No3_4
